2025-12-16 02:38:52,157 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 02:38:57,267 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.3, "sell_confidence": 0.4, "hold_confidence": 0.3, "next_day_view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining momentum, MACD below signal line suggests bearish trend, recent close below Bollinger Band midpoint and low StochK at 8.0 show weakness, high volatility and recent pullback support cautious outlook."}}
2025-12-16 02:38:57,365 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.3, 0.4, 0.3], "view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining momentum, MACD below signal line suggests bearish trend, recent close below Bollinger Band midpoint and low StochK at 8.0 show weakness, high volatility and recent pullback support cautious outlook."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.06279877424240111, 1.4175178289413453, 0.06279877424240111], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 02:44:36,331 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 02:44:49,162 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.25, "sell_confidence": 0.4, "hold_confidence": 0.35, "next_day_view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining from overbought levels. MACD (2.728) below signal (3.79) suggests bearish momentum. Recent close below Bollinger middle band and high volume sell-off support downside risk. Stochastic at 8.0 shows oversold but may not reverse immediately."}}
2025-12-16 02:44:49,167 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.25, 0.4, 0.35], "view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining from overbought levels. MACD (2.728) below signal (3.79) suggests bearish momentum. Recent close below Bollinger middle band and high volume sell-off support downside risk. Stochastic at 8.0 shows oversold but may not reverse immediately."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.0523323118686676, 1.4175178289413453, 0.07326523661613464], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 03:06:27,017 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 03:06:33,174 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.25, "sell_confidence": 0.45, "hold_confidence": 0.3, "next_day_view": "SELL", "explanation": "RSI (49.2) is neutral but declining from overbought levels. MACD (2.728) is below its signal line (3.790) and falling, indicating bearish momentum. Price closed near recent lows after a pullback from the peak, with high volume on the down day suggesting selling pressure. Stochastic (8.0) is deeply oversold, which may limit immediate downside, but the trend appears weak."}}
2025-12-16 03:06:33,205 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.25, 0.45, 0.3], "view": "SELL", "explanation": "RSI (49.2) is neutral but declining from overbought levels. MACD (2.728) is below its signal line (3.790) and falling, indicating bearish momentum. Price closed near recent lows after a pullback from the peak, with high volume on the down day suggesting selling pressure. Stochastic (8.0) is deeply oversold, which may limit immediate downside, but the trend appears weak."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.0523323118686676, 1.4279842913150786, 0.06279877424240111], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 03:19:48,043 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 03:19:55,138 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.35, "sell_confidence": 0.45, "hold_confidence": 0.2, "next_day_view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining from overbought levels; MACD (2.728) below signal (3.790) suggests bearish momentum; recent close below previous support and high volume (50.26M) on decline points to selling pressure; Bollinger Band position near middle shows lack of strong trend but bias to downside."}}
2025-12-16 03:19:55,169 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.35, 0.45, 0.2], "view": "SELL", "explanation": "RSI at 49.2 indicates neutral but declining from overbought levels; MACD (2.728) below signal (3.790) suggests bearish momentum; recent close below previous support and high volume (50.26M) on decline points to selling pressure; Bollinger Band position near middle shows lack of strong trend but bias to downside."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.07326523661613464, 1.4279842913150786, 0.04186584949493408], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 12:07:18,159 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 12:07:24,858 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.35, "sell_confidence": 0.45, "hold_confidence": 0.2, "next_day_view": "SELL", "explanation": "RSI at 49.8 indicates neutral but declining from overbought levels, MACD below signal line suggests weakening momentum, recent price near lower Bollinger Band but volume drop to 20.2M signals lack of buying interest, following a downtrend from recent highs with increased volatility."}}
2025-12-16 12:07:24,948 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.35, 0.45, 0.2], "view": "SELL", "explanation": "RSI at 49.8 indicates neutral but declining from overbought levels, MACD below signal line suggests weakening momentum, recent price near lower Bollinger Band but volume drop to 20.2M signals lack of buying interest, following a downtrend from recent highs with increased volatility."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.07326523661613464, 1.4279842913150786, 0.04186584949493408], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 12:48:14,755 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 12:48:29,812 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 12:48:31,108 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.3, "sell_confidence": 0.4, "hold_confidence": 0.3, "next_day_view": "SELL", "explanation": "RSI declining from 50.5, MACD negative divergence, recent close below Bollinger upper band, high volatility suggests potential downside."}}
2025-12-16 12:48:31,113 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.3, 0.4, 0.3], "view": "SELL", "explanation": "RSI declining from 50.5, MACD negative divergence, recent close below Bollinger upper band, high volatility suggests potential downside."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.06279877424240111, 1.4175178289413453, 0.06279877424240111], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 12:48:31,848 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.25, "sell_confidence": 0.35, "hold_confidence": 0.4, "next_day_view": "HOLD", "explanation": "RSI at 50.6 indicates neutral momentum, MACD is declining but positive, recent volatility and price near lower Bollinger Band suggest consolidation, mixed signals with slight bearish bias due to recent downtrend from highs."}}
2025-12-16 12:48:31,853 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.25, 0.35, 0.4], "view": "HOLD", "explanation": "RSI at 50.6 indicates neutral momentum, MACD is declining but positive, recent volatility and price near lower Bollinger Band suggest consolidation, mixed signals with slight bearish bias due to recent downtrend from highs."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.0523323118686676, 1.4070513665676116, 0.08373169898986817], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 12:49:49,345 | INFO | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-16 12:49:58,197 | INFO | {"ticker": "AAPL", "payload": {"buy_confidence": 0.25, "sell_confidence": 0.4, "hold_confidence": 0.35, "next_day_view": "SELL", "explanation": "RSI near 50 indicates neutral momentum, but recent price decline from 286.19 to 274.86 suggests bearish pressure. MACD declining and below signal line, StochK low at 18.2, and price near lower Bollinger Band support. High volatility and recent downtrend support cautious sell bias."}}
2025-12-16 12:49:58,202 | INFO | {"ticker": "AAPL", "lstm": {"vector": [0.0, 1.0, 0.0], "label": "SELL"}, "llm": {"vector": [0.25, 0.4, 0.35], "view": "SELL", "explanation": "RSI near 50 indicates neutral momentum, but recent price decline from 286.19 to 274.86 suggests bearish pressure. MACD declining and below signal line, StochK low at 18.2, and price near lower Bollinger Band support. High volatility and recent downtrend support cautious sell bias."}, "combiner": {"alpha": 0.2093292474746704, "beta": 1.333786129951477, "vector": [0.0523323118686676, 1.4175178289413453, 0.07326523661613464], "label": "SELL"}, "trade": {"status": "DRY_RUN", "symbol": "AAPL", "side": "sell", "qty": 1}}
2025-12-16 12:49:59,060 | WARNING | 5 out of the last 5 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x7335987718a0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
